location,occupancy
福岡県福岡市南区,100.0
福岡県福岡市博多区,100.0
福岡市博多区,94.2
福岡市博多区,97.1
福岡県福岡市中央区,100.0
福岡県福岡市中央区,96.4
福岡県福岡市中央区,100.0
福岡県福岡市博多区,93.7
福岡県福岡市早良区,94.7
福岡県福岡市南区,98.0
福岡県福岡市博多区,73.1
福岡県福岡市東区,100.0
福岡県福岡市東区,100.0
福岡県福岡市東区,100.0
福岡市中央区,96.9
福岡市西区,100.0
福岡市博多区,97.8
福岡市東区,93.7
福岡市南区,98.8
福岡市博多区,98.6
福岡市早良区,100.0
福岡市博多区,100.0
福岡市早良区,100.0
福岡県福岡市博多区,98.2
福岡県福岡市早良区,100.0
福岡県福岡市東区,96.5
福岡県福岡市東区,100.0
福岡県福岡市中央区,98.1
福岡県福岡市南区,100.0
福岡県福岡市博多区,100.0
福岡市博多区,6.0
福岡県福岡市中央区,89.3
福岡県福岡市中央区,96.4
福岡県福岡市中央区,94.5
福岡県福岡市博多区,100.0
福岡県福岡市早良区,96.1
福岡県福岡市西区,100.0
福岡県福岡市博多区,98.2
福岡県福岡市博多区,96.8
福岡県福岡市博多区,88.8
福岡県福岡市東区,100.0
福岡県福岡市南区,100.0
福岡県福岡市中央区,95.5
福岡県福岡市博多区,95.6
福岡県福岡市博多区,100.0
福岡県福岡市博多区,100.0
福岡県福岡市博多区,96.8
福岡県福岡市博多区,100.0
福岡県福岡市博多区,100.0
