location,occupancy
名古屋市東区,83.2
愛知県名古屋市東区,100.0
愛知県名古屋市千種区,100.0
愛知県名古屋市中区,100.0
名古屋市西区,100.0
愛知県名古屋市中川区,100.0
愛知県名古屋市中区,92.2
名古屋市東区,100.0
愛知県名古屋市守山区,100.0
愛知県名古屋市中川区,100.0
愛知県名古屋市東区,90.0
愛知県名古屋市熱田区,97.3
愛知県名古屋市東区,88.8
愛知県名古屋市中区,99.2
名古屋市東区,96.4
名古屋市中区,89.3
名古屋市中川区,100.0
愛知県名古屋市港区,100.0
愛知県名古屋市中川区,100.0
名古屋市千種区,97.5
名古屋市熱田区,93.0
名古屋市中区,98.2
名古屋市守山区,98.0
名古屋市熱田区,98.4
名古屋市中区,97.6
名古屋市中川区,95.5
名古屋市瑞穂区,100.0
名古屋市中区,97.2
名古屋市熱田区,87.7
名古屋市中区,96.4
名古屋市中村区,91.5
名古屋市名東区,88.1
名古屋市瑞穂区,96.6
名古屋市熱田区,80.7
名古屋市南区,96.6
名古屋市昭和区,96.7
名古屋市西区,100.0
名古屋市熱田区,87.6
名古屋市天白区,92.9
愛知県名古屋市千種区,100.0
愛知県名古屋市昭和区,90.1
愛知県名古屋市中村区,95.4
愛知県名古屋市東区,96.6
愛知県名古屋市東区,91.6
愛知県名古屋市東区,97.0
愛知県名古屋市千種区,92.5
愛知県名古屋市中区,100.0
愛知県名古屋市中区,100.0
愛知県名古屋市東区,100.0
愛知県名古屋市千種区,100.0
愛知県名古屋市千種区,96.5
愛知県名古屋市東区,100.0
名古屋市東区,13.0
愛知県名古屋市熱田区,97.6
愛知県名古屋市東区,93.9
愛知県名古屋市東区,90.8
愛知県名古屋市東区,87.7
愛知県名古屋市東区,97.0
愛知県名古屋市東区,92.3
愛知県名古屋市東区,91.8
愛知県名古屋市中区,97.8
愛知県名古屋市中区,93.0
愛知県名古屋市中区,97.4
愛知県名古屋市中区,100.0
愛知県名古屋市中区,88.3
愛知県名古屋市中区,92.2
愛知県名古屋市中区,94.3
愛知県名古屋市中区,100.0
