location,occupancy
大阪府大阪市住之江区,100.0
大阪府大阪市旭区,100.0
大阪市北区,1.0
大阪市中央区,10.0
大阪府大阪市中央区,97.4
大阪府大阪市浪速区,98.5
大阪府大阪市浪速区,98.0
大阪府大阪市中央区,95.4
大阪府大阪市北区,96.7
大阪市淀川区,100.0
大阪市中央区,77.0
大阪府大阪市住之江区,100.0
大阪府大阪市住之江区,100.0
大阪府大阪市此花区,100.0
大阪府大阪市此花区,100.0
大阪市浪速区,96.1
大阪市都島区,100.0
大阪市福島区,100.0
大阪市大正区,95.5
大阪市都島区,91.7
大阪市港区,98.0
大阪市福島区,100.0
大阪市東淀川区,100.0
大阪市北区,95.3
大阪市浪速区,100.0
大阪市北区,97.2
大阪市浪速区,100.0
大阪市東成区,100.0
大阪市都島区,100.0
大阪市此花区,100.0
大阪市東淀川区,100.0
大阪市浪速区,97.8
大阪市浪速区,100.0
大阪府大阪市東住吉区,100.0
大阪府大阪市天王寺区,92.3
大阪府大阪市中央区,100.0
大阪府大阪市西区,91.5
大阪府大阪市中央区,94.0
大阪府大阪市中央区,99.4
大阪府大阪市都島区,93.3
大阪府大阪市北区,97.8
大阪市北区,6.0
大阪市北区,2.0
大阪市東淀川区,6.0
大阪市中央区,9.0
大阪市北区,6.0
大阪市北区,1.0
大阪市北区,1.0
大阪市福島区,1.0
大阪市中央区,77.0
大阪府大阪市淀川区,96.3
大阪府大阪市西区,97.7
大阪府大阪市西区,93.3
大阪府大阪市都島区,96.7
大阪府大阪市東成区,95.9
大阪府大阪市西区,94.4
大阪府大阪市北区,94.7
大阪府大阪市旭区,94.2
大阪府大阪市西区,92.8
大阪府大阪市中央区,94.1
大阪府大阪市北区,97.5
大阪府大阪市淀川区,100.0
大阪府大阪市北区,100.0
大阪府大阪市中央区,93.3
大阪府大阪市中央区,96.1
