location,occupancy
東京都荒川区,96.0
東京都千代田区,89.1
東京都新宿区,94.1
東京都目黒区,98.7
東京都港区,95.5
東京都千代田区,88.3
東京都渋谷区,100.0
東京都品川区,88.7
東京都品川区,100.0
東京都品川区,100.0
東京都品川区,100.0
東京都品川区,100.0
東京都文京区,81.1
東京都港区,94.1
東京都港区,100.0
東京都中央区,100.0
東京都品川区,100.0
東京都渋谷区,100.0
東京都千代田区,100.0
東京都墨田区,100.0
東京都渋谷区,100.0
東京都千代田区,96.8
東京都千代田区,100.0
東京都新宿区,95.7
東京都渋谷区,100.0
東京都品川区,100.0
東京都目黒区,100.0
東京都渋谷区,93.8
東京都板橋区,97.3
東京都豊島区,97.9
東京都中央区,100.0
東京都港区,7.0
東京都千代田区,69.0
東京都港区,79.1
東京都新宿区,96.5
東京都渋谷区,94.2
東京都大田区,98.1
東京都港区,94.9
東京都港区,98.1
東京都板橋区,100.0
東京都練馬区,100.0
東京都板橋区,98.7
東京都世田谷区,100.0
東京都世田谷区,100.0
東京都中央区,100.0
東京都港区,100.0
東京都渋谷区,94.3
東京都中央区,98.2
東京都台東区,98.1
東京都新宿区,98.1
東京都板橋区,97.4
東京都世田谷区,96.8
東京都足立区,97.9
東京都港区,94.7
東京都中央区,97.5
東京都世田谷区,100.0
東京都江東区,98.3
東京都世田谷区,100.0
東京都墨田区,95.4
東京都品川区,97.6
東京都目黒区,95.4
東京都板橋区,100.0
東京都江東区,100.0
東京都墨田区,100.0
東京都豊島区,100.0
東京都大田区,100.0
東京都世田谷区,95.9
東京都台東区,88.9
東京都目黒区,97.8
東京都港区,97.1
東京都千代田区,100.0
東京都墨田区,98.7
東京都杉並区,96.4
東京都新宿区,97.9
東京都台東区,100.0
東京都台東区,100.0
東京都中央区,93.5
東京都大田区,100.0
東京都渋谷区,95.4
東京都渋谷区,97.4
東京都文京区,87.9
東京都練馬区,94.8
東京都大田区,100.0
東京都港区,96.5
東京都千代田区,93.7
