location,occupancy
神奈川県横浜市旭区,100.0
神奈川県横浜市戸塚区,100.0
神奈川県横浜市中区,95.8
神奈川県横浜市西区,93.6
神奈川県横浜市保土ヶ谷区,100.0
神奈川県横浜市鶴見区,98.4
神奈川県横浜市港北区,97.7
神奈川県横浜市都筑区,100.0
神奈川県横浜市金沢区,100.0
神奈川県横浜市中区,100.0
神奈川県横浜市戸塚区,100.0
神奈川県横浜市都筑区,100.0
神奈川県横浜市都筑区,100.0
横浜市鶴見区,100.0
横浜市青葉区,96.9
横浜市南区,94.7
横浜市青葉区,100.0
神奈川県横浜市神奈川区,98.2
神奈川県横浜市西区,86.7
神奈川県横浜市青葉区,100.0
神奈川県横浜市西区,96.1
神奈川県横浜市中区,97.1
神奈川県横浜市都筑区,100.0
神奈川県横浜市港北区,100.0
神奈川県横浜市中区,96.0
神奈川県横浜市南区,89.3
神奈川県横浜市中区,95.7
神奈川県横浜市港北区,97.7
神奈川県横浜市港北区,100.0
神奈川県横浜市港北区,97.7
