location,min_occupancy,max_occupancy,mean_occupancy,median_occupancy
大阪府大阪市住之江区,100.0,100.0,100.0,100.0
大阪府大阪市旭区,94.2,100.0,97.1,97.1
大阪市北区,1.0,97.2,26.2,4.0
大阪市中央区,9.0,77.0,43.2,43.5
大阪府大阪市中央区,93.3,100.0,96.2,95.8
大阪府大阪市浪速区,98.0,98.5,98.2,98.2
大阪府大阪市北区,94.7,100.0,97.3,97.5
大阪市淀川区,100.0,100.0,100.0,100.0
大阪府大阪市此花区,100.0,100.0,100.0,100.0
大阪市浪速区,96.1,100.0,98.8,100.0
大阪市都島区,91.7,100.0,97.2,100.0
大阪市福島区,1.0,100.0,67.0,100.0
大阪市大正区,95.5,95.5,95.5,95.5
大阪市港区,98.0,98.0,98.0,98.0
大阪市東淀川区,6.0,100.0,68.7,100.0
大阪市東成区,100.0,100.0,100.0,100.0
大阪市此花区,100.0,100.0,100.0,100.0
大阪府大阪市東住吉区,100.0,100.0,100.0,100.0
大阪府大阪市天王寺区,92.3,92.3,92.3,92.3
大阪府大阪市西区,91.5,97.7,93.9,93.3
大阪府大阪市都島区,93.3,96.7,95.0,95.0
大阪府大阪市淀川区,96.3,100.0,98.2,98.2
大阪府大阪市東成区,95.9,95.9,95.9,95.9
