reit_name,location,asset_type,cap_rate_pct,occupancy
積水ハウス・リート投資法人,福岡県福岡市南区井尻四丁目3番13,,,
積水ハウス・リート投資法人,福岡県福岡市南区井尻,,,100.0
積水ハウス・リート投資法人,福岡県福岡市博多区博多駅前,,,100.0
平和不動産リート投資法人,福岡県福岡市博多区千代四丁目９番１,,,
スターアジア不動産投資法人,福岡県福岡市中央区,,,
大和ハウスリート投資法人,福岡県福岡市,,,36.7
タカラレーベン不動産投資法人,福岡県福岡市,,,
日本都市ファンド投資法人,福岡県福岡市中央区天神二丁目8番22号,,,
ザイマックス・リート投資法人,福岡県福岡市,,,98.6
投資法人みらい,福岡県福岡市,,,
サムティ・レジデンシャル投資法人,福岡市博多区,,,94.2
サムティ・レジデンシャル投資法人,福岡市博多区,,4.3,97.1
ケネディクス・オフィス投資法人,福岡県福岡市博多区博多駅南一丁目3番11号,不動産,,
ケネディクス・レジデンシャル・ネクスト投資法人,福岡県福岡市中央区港三丁目5番7号,,3.9,100.0
ケネディクス・レジデンシャル・ネクスト投資法人,福岡県福岡市中央区港一丁目2番18号,,4.3,96.4
ケネディクス・レジデンシャル・ネクスト投資法人,福岡県福岡市中央区平尾浄水町10番17号,,3.7,100.0
ケネディクス・レジデンシャル・ネクスト投資法人,福岡県福岡市博多区築港本町6番22号,,3.9,93.7
ケネディクス・レジデンシャル・ネクスト投資法人,福岡県福岡市早良区西新二丁目24番30号,,4.1,94.7
ケネディクス・レジデンシャル・ネクスト投資法人,福岡県福岡市南区清水一丁目21番27号,,3.9,98.0
ＫＤＸ不動産投資法人,福岡県福岡市博多区博多駅南一丁目3番11号,不動産,,
いちごオフィスリート投資法人,福岡県福岡市博多区博多駅東三丁目14番18号,不動産信託受益権,,73.1
産業ファンド投資法人,福岡県福岡市東区箱崎ふ頭四丁目1番18号,,,100.0
産業ファンド投資法人,福岡県福岡市東区箱崎ふ頭四丁目14番31号,,,100.0
産業ファンド投資法人,福岡県福岡市東区蒲田四丁目9番1,,,100.0
スターアジア不動産投資法人,福岡県福岡市,,,
スターアジア不動産投資法人,福岡県福岡市,,,
スターアジア不動産投資法人,福岡県福岡市,,,
サムティ・レジデンシャル投資法人,福岡市中央区,,3.9,96.9
サムティ・レジデンシャル投資法人,福岡市西区,,4.5,100.0
サムティ・レジデンシャル投資法人,福岡市博多区,,4.2,97.8
サムティ・レジデンシャル投資法人,福岡市東区,,4.8,93.7
サムティ・レジデンシャル投資法人,福岡市南区,,4.2,98.8
サムティ・レジデンシャル投資法人,福岡市博多区,,4.2,98.6
サムティ・レジデンシャル投資法人,福岡市早良区,,4.4,100.0
サムティ・レジデンシャル投資法人,福岡市博多区,,4.1,100.0
大和ハウスリート投資法人,福岡県福岡市,,,97.5
