reit_name,location,asset_type,cap_rate_pct,occupancy
産業ファンド投資法人,愛知県名古屋市,,,100.0
サムティ・レジデンシャル投資法人,名古屋市東区,,4.4,83.2
三菱地所物流リート投資法人,愛知県名古屋市,,,
大和ハウスリート投資法人,愛知県名古屋市中区栄四丁目16番10号,,,
積水ハウス・リート投資法人,愛知県名古屋市東区橦木町,,,100.0
積水ハウス・リート投資法人,愛知県名古屋市千種区萱場,,,100.0
積水ハウス・リート投資法人,愛知県名古屋市中区松原,,,100.0
インヴィンシブル投資法人,愛知県名古屋市港区新川町四丁目１番２,,,
マリモ地方創生リート投資法人,愛知県名古屋市,,,
サムティ・レジデンシャル投資法人,名古屋市西区,,4.6,100.0
ケネディクス商業リート投資法人,愛知県名古屋市中川区,,,100.0
タカラレーベン不動産投資法人,愛知県名古屋市,,,
平和不動産リート投資法人,愛知県名古屋市西区菊井二丁目1918番,,,
アドバンス・レジデンス投資法人,愛知県名古屋市中区栄五丁目7番16号,不動産,,92.2
サムティ・レジデンシャル投資法人,名古屋市東区,,4.2,100.0
大和ハウスリート投資法人,愛知県名古屋市,,,96.9
タカラレーベン不動産投資法人,愛知県名古屋市,,,
ケネディクス商業リート投資法人,愛知県名古屋市守山区,,,100.0
ケネディクス商業リート投資法人,愛知県名古屋市中川区,,,100.0
ケネディクス・レジデンシャル・ネクスト投資法人,愛知県名古屋市東区泉二丁目24番28号,,3.8,90.0
ケネディクス・レジデンシャル・ネクスト投資法人,愛知県名古屋市熱田区横田二丁目4番27号,,4.1,97.3
ケネディクス・レジデンシャル・ネクスト投資法人,愛知県名古屋市東区東桜二丁目13番22号,,3.8,88.8
ケネディクス・レジデンシャル・ネクスト投資法人,愛知県名古屋市中区新栄一丁目49番6号,,3.9,99.2
サムティ・レジデンシャル投資法人,名古屋市東区,,4.0,96.4
大和証券リビング投資法人,愛知県名古屋市,,,99.1
平和不動産リート投資法人,愛知県名古屋市中区錦一丁目726番１　他1筆,,,
ＧＬＰ投資法人,愛知県名古屋市,,,
タカラレーベン不動産投資法人,愛知県名古屋市,,,
日本リート投資法人,愛知県名古屋市,,,
エスコンジャパンリート投資法人,愛知県北名古屋市,,,
サムティ・レジデンシャル投資法人,名古屋市中区,,4.1,89.3
大和証券リビング投資法人,愛知県名古屋市,,,100.0
大和証券リビング投資法人,愛知県名古屋市,,,98.1
大和証券リビング投資法人,愛知県名古屋市,,4.5,100.0
大和証券リビング投資法人,愛知県名古屋市,,,93.9
大和証券リビング投資法人,愛知県名古屋市,,4.5,100.0
サムティ・レジデンシャル投資法人,名古屋市中川区,,4.1,100.0
大和証券リビング投資法人,愛知県名古屋市,,,100.0
産業ファンド投資法人,愛知県名古屋市港区潮見町37番31,,,100.0
産業ファンド投資法人,愛知県名古屋市中川区柳田町二丁目27番,,,100.0
東海道リート投資法人,愛知県名古屋市,,,98.2
東海道リート投資法人,愛知県名古屋市,,,97.2
東海道リート投資法人,愛知県名古屋市,,,100.0
東海道リート投資法人,愛知県名古屋市,,,97.1
東海道リート投資法人,愛知県名古屋市,,,93.7
東海道リート投資法人,愛知県名古屋市,,,96.4
東海道リート投資法人,愛知県名古屋市,,,100.0
サムティ・レジデンシャル投資法人,名古屋市千種区,,,
サムティ・レジデンシャル投資法人,名古屋市千種区,,4.1,97.5
サムティ・レジデンシャル投資法人,名古屋市熱田区,,4.1,93.0
サムティ・レジデンシャル投資法人,名古屋市中区,,4.1,98.2
サムティ・レジデンシャル投資法人,名古屋市守山区,,4.5,98.0
サムティ・レジデンシャル投資法人,名古屋市熱田区,,4.2,98.4
サムティ・レジデンシャル投資法人,名古屋市中区,,3.9,97.6
サムティ・レジデンシャル投資法人,名古屋市中川区,,4.2,95.5
サムティ・レジデンシャル投資法人,名古屋市瑞穂区,,4.3,100.0
サムティ・レジデンシャル投資法人,名古屋市中区,,4.1,97.2
サムティ・レジデンシャル投資法人,名古屋市熱田区,,4.3,87.7
サムティ・レジデンシャル投資法人,名古屋市中区,,4.1,96.4
サムティ・レジデンシャル投資法人,名古屋市中村区,,3.9,91.5
サムティ・レジデンシャル投資法人,名古屋市名東区,,4.4,88.1
サムティ・レジデンシャル投資法人,名古屋市瑞穂区,,4.3,96.6
サムティ・レジデンシャル投資法人,名古屋市熱田区,,3.9,80.7
サムティ・レジデンシャル投資法人,名古屋市南区,,4.4,96.6
サムティ・レジデンシャル投資法人,名古屋市昭和区,,4.0,96.7
