reit_name,location,asset_type,cap_rate_pct,occupancy
グローバル・ワン不動産投資法人,大阪府大阪市北区堂島浜一丁目２番１号,不動産,,
グローバル・ワン不動産投資法人,大阪府大阪市西区土佐堀二丁目２番４号,不動産,,
グローバル・ワン不動産投資法人,大阪府大阪市中央区伏見町四丁目１番１号,不動産,,
グローバル・ワン不動産投資法人,大阪府大阪市北区梅田三丁目３番20号,不動産信託受益権,,
平和不動産リート投資法人,大阪府大阪市中央区南船場三丁目14番５、12番９,,,
三菱地所物流リート投資法人,大阪府大阪市,,,
いちごホテルリート投資法人,大阪府大阪市中央区博労町二丁目３番８号,不動産信託受益権,,
日本リート投資法人,大阪府大阪市,,,
日本都市ファンド投資法人,大阪府大阪市中央区南船場三丁目10番25号,,,
日本都市ファンド投資法人,大阪府大阪市北区茶屋町15番22号,,,
アクティビア・プロパティーズ投資法人,大阪府大阪市,,,100.0
アクティビア・プロパティーズ投資法人,大阪府大阪市,,,97.0
産業ファンド投資法人,大阪府大阪市住之江区南港北一丁目1番23号,,,100.0
タカラレーベン不動産投資法人,大阪府大阪市,,,
日本リート投資法人,大阪府東大阪市,,,
タカラレーベン不動産投資法人,大阪府大阪市,,,
ケネディクス商業リート投資法人,大阪府大阪市旭区,,,100.0
ケネディクス・オフィス投資法人,大阪府大阪市西区土佐堀一丁目5番11号,不動産信託受益権,,
阪急阪神リート投資法人,大阪市北区,,,1.0
阪急阪神リート投資法人,大阪市中央区,,,10.0
平和不動産リート投資法人,大阪府大阪市西区立売堀四丁目29番１,,,
ケネディクス・レジデンシャル・ネクスト投資法人,大阪府大阪市中央区本町橋2番14号,,3.6,97.4
ケネディクス・レジデンシャル・ネクスト投資法人,大阪府大阪市浪速区稲荷一丁目6番16号,,3.9,98.5
ケネディクス・レジデンシャル・ネクスト投資法人,大阪府大阪市浪速区塩草三丁目11番9号,,4.0,98.0
ケネディクス・レジデンシャル・ネクスト投資法人,大阪府大阪市中央区瓦町一丁目7番15号,,3.6,95.4
スターアジア不動産投資法人,大阪府大阪市阿倍野区,,,
スターアジア不動産投資法人,大阪府大阪市阿倍野区,,,
サンケイリアルエステート投資法人,大阪府大阪市北区,,,96.7
グローバル・ワン不動産投資法人,大阪府大阪市中央区高麗橋三丁目３番11号,不動産信託受益権,,
投資法人みらい,大阪府大阪市,,,
ＫＤＸ不動産投資法人,大阪府大阪市中央区道修町四丁目4番10号,不動産信託受益権,,
平和不動産リート投資法人,大阪府大阪市北区中之島三丁目38番１他１筆,,,
コンフォリア・レジデンシャル投資法人,大阪府大阪市北区西天満三丁目９番１号,,,
コンフォリア・レジデンシャル投資法人,大阪府大阪市北区天神橋三丁目７番15号,,,
コンフォリア・レジデンシャル投資法人,大阪府大阪市西区京町堀一丁目16番14号,,,
ヘルスケア＆メディカル投資法人,大阪府東大阪市,,,
タカラレーベン不動産投資法人,大阪府大阪市,,,
サムティ・レジデンシャル投資法人,大阪市淀川区,,4.3,100.0
スターアジア不動産投資法人,大阪府大阪市浪速区,,,
スターアジア不動産投資法人,大阪府大阪市浪速区,,,
スターアジア不動産投資法人,大阪府大阪市北区,,,
積水ハウス・リート投資法人,大阪府大阪市中央区本町,,,
積水ハウス・リート投資法人,大阪府大阪市中央区本町三丁目6番4号,,,
阪急阪神リート投資法人,大阪市中央区,,,77.0
平和不動産リート投資法人,大阪府大阪市中央区東心斎橋一丁目４番１,,,
スターアジア不動産投資法人,大阪府大阪市生野区,,,
スターアジア不動産投資法人,大阪府大阪市北区,,,
いちごホテルリート投資法人,大阪府大阪市中央区南船場二丁目４番10号,不動産信託受益権,,
産業ファンド投資法人,大阪府大阪市住之江区柴谷一丁目2番32,,,100.0
産業ファンド投資法人,大阪府大阪市住之江区柴谷一丁目2番34,,,100.0
産業ファンド投資法人,大阪府東大阪市若江東町六丁目7番46,,,100.0
産業ファンド投資法人,大阪府大阪市此花区島屋四丁目4番51号,,,100.0
産業ファンド投資法人,大阪府大阪市此花区西九条一丁目19番1他,,,100.0
エスコンジャパンリート投資法人,大阪府大阪市,,,100.0
三井不動産ロジスティクスパーク投資法人,大阪府大阪市,,,100.0
スターアジア不動産投資法人,大阪府大阪市,,,
スターアジア不動産投資法人,大阪府大阪市,,,
スターアジア不動産投資法人,大阪府大阪市,,,
スターアジア不動産投資法人,大阪府大阪市,,,
スターアジア不動産投資法人,大阪府大阪市,,,
サムティ・レジデンシャル投資法人,大阪市浪速区,,4.4,96.1
サムティ・レジデンシャル投資法人,大阪市都島区,,4.0,100.0
サムティ・レジデンシャル投資法人,大阪市福島区,,3.8,100.0
サムティ・レジデンシャル投資法人,大阪市大正区,,3.9,95.5
サムティ・レジデンシャル投資法人,大阪市都島区,,4.1,91.7
サムティ・レジデンシャル投資法人,大阪市港区,,4.2,98.0
サムティ・レジデンシャル投資法人,大阪市福島区,,4.1,100.0
サムティ・レジデンシャル投資法人,大阪市東淀川区,,3.9,100.0
サムティ・レジデンシャル投資法人,大阪市北区,,3.7,95.3
サムティ・レジデンシャル投資法人,大阪市浪速区,,4.5,100.0
サムティ・レジデンシャル投資法人,大阪市北区,,3.8,97.2
サムティ・レジデンシャル投資法人,大阪市浪速区,,4.1,100.0
サムティ・レジデンシャル投資法人,大阪市東成区,,4.2,100.0
サムティ・レジデンシャル投資法人,大阪市都島区,,3.7,100.0
サムティ・レジデンシャル投資法人,大阪市此花区,,3.9,100.0
サムティ・レジデンシャル投資法人,大阪市東淀川区,,4.6,100.0
サムティ・レジデンシャル投資法人,大阪市浪速区,,3.9,97.8
大和ハウスリート投資法人,大阪府大阪市,,,96.4
大和ハウスリート投資法人,大阪府大阪市,,,96.3
大和ハウスリート投資法人,大阪府大阪市,,,97.2
大和ハウスリート投資法人,大阪府大阪市,,,96.5
大和ハウスリート投資法人,大阪府大阪市,,,100.0
大和ハウスリート投資法人,大阪府大阪市,,,100.0
大和ハウスリート投資法人,大阪府大阪市,,,96.4
大和ハウスリート投資法人,大阪府大阪市,,,97.4
大和ハウスリート投資法人,大阪府大阪市,,,100.0
大和ハウスリート投資法人,大阪府大阪市,,,100.0
日本都市ファンド投資法人,大阪府大阪市鶴見区鶴見四丁目17番1号,,,
日本都市ファンド投資法人,大阪府大阪市浪速区下寺二丁目5番23他,,,
