reit_name,location,asset_type,cap_rate_pct,occupancy
アドバンス・レジデンス投資法人,東京都荒川区町屋六丁目１番15号,信託受益権,,96.0
アドバンス・レジデンス投資法人,東京都千代田区神田小川町三丁目２番地66他,信託受益権,,89.1
アドバンス・レジデンス投資法人,東京都新宿区荒木町17番地,信託受益権,,94.1
アドバンス・レジデンス投資法人,東京都目黒区原町一丁目22番３号,信託受益権,,98.7
アドバンス・レジデンス投資法人,東京都港区南青山一丁目24番15号,信託受益権,,95.5
オリックス不動産投資法人,東京都港区六本木一丁目4番5号,,,
大和ハウスリート投資法人,東京都大田区上池台一丁目４番15号,,,
グローバル・ワン不動産投資法人,東京都墨田区錦糸一丁目２番１号,不動産信託受益権,,
グローバル・ワン不動産投資法人,東京都江東区豊洲五丁目６番36号,不動産信託受益権,,
グローバル・ワン不動産投資法人,東京都台東区東上野四丁目24番11号,不動産信託受益権,,
グローバル・ワン不動産投資法人,東京都千代田区平河町二丁目16番１号,不動産信託受益権,,
グローバル・ワン不動産投資法人,東京都港区南青山二丁目６番21号,不動産信託受益権,,
グローバル・ワン不動産投資法人,東京都港区六本木一丁目９番10号,不動産信託受益権,,
いちごオフィスリート投資法人,東京都千代田区内神田一丁目６番６号,不動産信託受益権,,88.3
いちごオフィスリート投資法人,東京都渋谷区笹塚二丁目26番２号,不動産信託受益権,,100.0
いちごオフィスリート投資法人,東京都品川区大崎四丁目１番２号,不動産信託受益権,,88.7
いちごオフィスリート投資法人,東京都品川区大井一丁目24番５号,不動産信託受益権,,100.0
いちごオフィスリート投資法人,東京都品川区西五反田２丁目18番３号,不動産信託受益権,,100.0
いちごオフィスリート投資法人,東京都品川区東五反田一丁目６番３号,不動産信託受益権,,100.0
いちごオフィスリート投資法人,東京都品川区西五反田一丁目30番２号,不動産信託受益権,,100.0
いちごオフィスリート投資法人,東京都文京区本郷五丁目33番10号,不動産信託受益権,,81.1
いちごオフィスリート投資法人,東京都港区三田三丁目４番２号,不動産信託受益権,,94.1
いちごオフィスリート投資法人,東京都港区三田三丁目１番17号,不動産信託受益権,,100.0
いちごオフィスリート投資法人,東京都中央区八丁堀四丁目８番２号,不動産信託受益権,,100.0
いちごオフィスリート投資法人,東京都品川区南大井六丁目25番３号,不動産信託受益権,,100.0
平和不動産リート投資法人,東京都港区白金台五丁目22番３,,,
平和不動産リート投資法人,東京都港区赤坂一丁目１番他１筆,,,
平和不動産リート投資法人,東京都文京区千駄木二丁目256番24他１筆,,,
平和不動産リート投資法人,東京都中央区日本橋堀留町一丁目１番５,,,
平和不動産リート投資法人,東京都中央区八丁堀三丁目103番２他１筆,,,
平和不動産リート投資法人,東京都中央区新川二丁目214番１他１筆,,,
平和不動産リート投資法人,東京都中央区日本橋兜町226番１他５筆,,,
平和不動産リート投資法人,東京都足立区千住三丁目98番他２筆,,,
平和不動産リート投資法人,東京都世田谷区駒沢二丁目976番１他13筆,,,
平和不動産リート投資法人,東京都立川市曙町二丁目295番他１筆,,,
平和不動産リート投資法人,東京都文京区千駄木二丁目113番９,,,
平和不動産リート投資法人,東京都八王子市子安町四丁目77番１,,,
平和不動産リート投資法人,東京都中央区新富一丁目６番２,,,
平和不動産リート投資法人,東京都品川区大崎五丁目60番１、60番４,,,
平和不動産リート投資法人,東京都中央区新川一丁目６番６他１筆,,,
ケネディクス・レジデンシャル・ネクスト投資法人,東京都渋谷区千駄ヶ谷三丁目38番7号,,3.8,100.0
Ｏｎｅリート投資法人,東京都豊島区,,,
タカラレーベン不動産投資法人,東京都渋谷区,,,
積水ハウス・リート投資法人,東京都千代田区神田佐久間河岸,,,100.0
積水ハウス・リート投資法人,東京都日野市新町,,,98.4
積水ハウス・リート投資法人,東京都墨田区八広,,,100.0
いちごオフィスリート投資法人,東京都渋谷区恵比寿南三丁目１番１号,不動産信託受益権,,100.0
アクティビア・プロパティーズ投資法人,東京都千代田区,,,96.8
ユナイテッド・アーバン投資法人,東京都中央区,,,
ケネディクス・レジデンシャル・ネクスト投資法人,東京都千代田区神田須田町一丁目7番地,,3.7,100.0
アドバンス・レジデンス投資法人,東京都新宿区西新宿八丁目5番7号,信託受益権,,95.7
アドバンス・レジデンス投資法人,東京都渋谷区代々木四丁目34番10号,信託受益権,,100.0
スターアジア不動産投資法人,東京都江戸川区,,,
スターアジア不動産投資法人,東京都江戸川区,,,
スターアジア不動産投資法人,東京都千代田区,,,
産業ファンド投資法人,東京都品川区西五反田四丁目31番18,,,100.0
日本都市ファンド投資法人,東京都港区南青山五丁目4番48号他,,,
日本都市ファンド投資法人,東京都新宿区新宿四丁目1番8号,,,
タカラレーベン不動産投資法人,東京都多摩市,,,
タカラレーベン不動産投資法人,東京都台東区,,,
ケネディクス商業リート投資法人,東京都目黒区中根一丁目14番18号,,,100.0
ケネディクス商業リート投資法人,東京都渋谷区代官山町17番6号,,,93.8
平和不動産リート投資法人,東京都文京区向丘一丁目52番１他４筆,,,
平和不動産リート投資法人,東京都港区三田三丁目20番１,,,
平和不動産リート投資法人,東京都港区芝三丁目27番１,,,
日本リート投資法人,東京都新宿区,,,
スターアジア不動産投資法人,東京都立川市,,,
スターアジア不動産投資法人,東京都千代田区,,,
サムティ・レジデンシャル投資法人,東京都板橋区,,3.9,97.3
日本都市ファンド投資法人,東京都渋谷区神宮前四丁目25番28号他,,,
日本都市ファンド投資法人,東京都渋谷区恵比寿西一丁目35番17号,,,
日本都市ファンド投資法人,東京都中野区南台五丁目26番2号,,,
日本都市ファンド投資法人,東京都渋谷区神宮前四丁目9番9号,,,
ケネディクス・オフィス投資法人,東京都豊島区池袋二丁目6番1号,不動産信託受益権,,
アドバンス・レジデンス投資法人,東京都豊島区上池袋四丁目12番12号,信託受益権,,97.9
いちごホテルリート投資法人,東京都渋谷区神南一丁目８番11号,不動産信託受益権,,
サムティ・レジデンシャル投資法人,東京都世田谷区上馬四丁目40番３号,,,
サムティ・レジデンシャル投資法人,東京都江東区亀戸九丁目６番13号,,,
日本都市ファンド投資法人,東京都中央区銀座六丁目5番1号,,,
タカラレーベン不動産投資法人,東京都台東区,,,
タカラレーベン不動産投資法人,東京都足立区,,,
投資法人みらい,東京都港区,,,
阪急阪神リート投資法人,東京都港区,所有権,,
阪急阪神リート投資法人,東京都港区,所有権,,
アクティビア・プロパティーズ投資法人,東京都中央区,,,100.0
平和不動産リート投資法人,東京都中央区日本橋兜町226番１他５筆,,,
平和不動産リート投資法人,東京都港区高輪二丁目29番他６筆,,,
日本リート投資法人,東京都台東区,,,
コンフォリア・レジデンシャル投資法人,東京都品川区西大井六丁目６番１号,,,
三井不動産ロジスティクスパーク投資法人,東京都日野市,,,
スターアジア不動産投資法人,東京都渋谷区,,,
オリックス不動産投資法人,東京都中央区築地三丁目9番9号外,,,
日本都市ファンド投資法人,東京都港区南青山五丁目8番5号,,,
