reit_name,location,asset_type,cap_rate_pct,occupancy
スターアジア不動産投資法人,神奈川県横浜市港北区,,,
アドバンス・レジデンス投資法人,神奈川県横浜市都筑区茅ヶ崎南二丁目18番7号,不動産,,
投資法人みらい,神奈川県横浜市,,,
スターアジア不動産投資法人,神奈川県横浜市神奈川区,,,
ケネディクス商業リート投資法人,神奈川県横浜市旭区,,,100.0
ケネディクス商業リート投資法人,神奈川県横浜市戸塚区,,,100.0
ケネディクス・レジデンシャル・ネクスト投資法人,神奈川県横浜市中区万代町三丁目5番地9,,3.8,95.8
ケネディクス・レジデンシャル・ネクスト投資法人,神奈川県横浜市西区紅葉ヶ丘6番地1,,3.5,93.6
ケネディクス・レジデンシャル・ネクスト投資法人,神奈川県横浜市保土ヶ谷区天王町一丁目30番2号,,3.7,100.0
ケネディクス・レジデンシャル・ネクスト投資法人,神奈川県横浜市鶴見区向井町一丁目10番地,,4.1,98.4
ケネディクス・レジデンシャル・ネクスト投資法人,神奈川県横浜市港北区日吉七丁目17番35号,,3.7,97.7
産業ファンド投資法人,神奈川県横浜市都筑区牛久保三丁目9番2号,,,100.0
コンフォリア・レジデンシャル投資法人,神奈川県横浜市神奈川区子安通二丁目216番２号,,,
コンフォリア・レジデンシャル投資法人,神奈川県横浜市青葉区美しが丘二丁目12番地１,,,
平和不動産リート投資法人,神奈川県横浜市中区山下町89番６,,,
大和ハウスリート投資法人,神奈川県横浜市神奈川区子安通三丁目298番地１,,,
産業ファンド投資法人,神奈川県横浜市,,,100.0
産業ファンド投資法人,神奈川県横浜市戸塚区名瀬町344番1他,,,
スターアジア不動産投資法人,神奈川県横浜市鶴見区,,,
日本都市ファンド投資法人,神奈川県横浜市港北区綱島西二丁目8番1号,,,
産業ファンド投資法人,神奈川県横浜市金沢区幸浦一丁目3番2,,,100.0
産業ファンド投資法人,神奈川県横浜市中区新山下一丁目16番5,,,100.0
産業ファンド投資法人,神奈川県横浜市戸塚区上矢部町字九日谷2277番4他,,,100.0
産業ファンド投資法人,神奈川県横浜市都筑区北山田四丁目25番2号,,,100.0
産業ファンド投資法人,神奈川県横浜市都筑区川向町字南耕地747番1他,,,100.0
三井不動産ロジスティクスパーク投資法人,神奈川県横浜市,,,100.0
スターアジア不動産投資法人,神奈川県横浜市,,,
スターアジア不動産投資法人,神奈川県横浜市,,,
スターアジア不動産投資法人,神奈川県横浜市,,,
スターアジア不動産投資法人,神奈川県横浜市,,,
スターアジア不動産投資法人,神奈川県横浜市,,,
スターアジア不動産投資法人,神奈川県横浜市,,,
スターアジア不動産投資法人,神奈川県横浜市,,,
サムティ・レジデンシャル投資法人,横浜市鶴見区,,4.0,100.0
サムティ・レジデンシャル投資法人,横浜市青葉区,,3.7,96.9
サムティ・レジデンシャル投資法人,横浜市南区,,3.9,94.7
サムティ・レジデンシャル投資法人,横浜市青葉区,,3.9,100.0
大和ハウスリート投資法人,神奈川県横浜市,,,96.7
大和ハウスリート投資法人,神奈川県横浜市,,,100.0
大和ハウスリート投資法人,神奈川県横浜市,,,100.0
大和ハウスリート投資法人,神奈川県横浜市,,,100.0
大和ハウスリート投資法人,神奈川県横浜市,,,100.0
日本都市ファンド投資法人,神奈川県横浜市戸塚区品濃町537番地1他,,,
日本都市ファンド投資法人,神奈川県横浜市港北区新横浜二丁目18番15号,,,
日本都市ファンド投資法人,神奈川県横浜市中区本町六丁目50番1号,,,
日本都市ファンド投資法人,神奈川県横浜市都筑区中川中央一丁目30番1他,,,
日本都市ファンド投資法人,神奈川県横浜市神奈川区栄町5番1号,,,
日本都市ファンド投資法人,神奈川県横浜市西区南幸二丁目8番16号,,,
ＧＬＰ投資法人,神奈川県横浜市,,,
大和証券リビング投資法人,神奈川県横浜市,,,
大和証券リビング投資法人,神奈川県横浜市,,,100.0
大和証券リビング投資法人,神奈川県横浜市,,,100.0
大和証券リビング投資法人,神奈川県横浜市,,,100.0
積水ハウス・リート投資法人,神奈川県横浜市神奈川区六角橋,,,98.2
積水ハウス・リート投資法人,神奈川県横浜市西区南浅間町,,,86.7
積水ハウス・リート投資法人,神奈川県横浜市青葉区青葉台,,,100.0
積水ハウス・リート投資法人,神奈川県横浜市西区南幸,,,96.1
積水ハウス・リート投資法人,神奈川県横浜市中区本町,,,97.1
投資法人みらい,神奈川県横浜市,,,
投資法人みらい,神奈川県横浜市,,,
投資法人みらい,神奈川県横浜市,,,
アクティビア・プロパティーズ投資法人,神奈川県横浜市,,,100.0
ＳＯＳｉＬＡ物流リート投資法人,神奈川県横浜市（関東エリア）,,,
インヴィンシブル投資法人,神奈川県横浜市中区末吉町四丁目81番,,,
インヴィンシブル投資法人,神奈川県横浜市中区尾上町五丁目65番他３筆,,,
インヴィンシブル投資法人,神奈川県横浜市港北区新横浜三丁目16番２号,,,
インヴィンシブル投資法人,神奈川県横浜市中区花咲町二丁目72番２他４筆,,,
