location,min_occupancy,max_occupancy,mean_occupancy,median_occupancy
東京都荒川区,91.2,96.0,93.6,93.5
東京都千代田区,68.0,100.0,94.4,96.3
東京都新宿区,85.2,100.0,95.9,96.6
東京都目黒区,85.3,100.0,96.4,96.8
東京都港区,6.0,100.0,92.5,97.2
東京都渋谷区,77.8,100.0,96.7,97.6
東京都品川区,88.7,100.0,96.7,97.3
東京都文京区,81.1,100.0,93.7,93.4
東京都中央区,86.2,100.0,96.2,97.3
東京都墨田区,90.0,100.0,96.6,97.3
東京都板橋区,91.2,100.0,98.5,99.4
東京都豊島区,89.8,100.0,96.9,97.7
東京都大田区,59.4,100.0,96.8,98.2
東京都練馬区,94.8,100.0,98.0,97.9
東京都世田谷区,89.2,100.0,97.0,97.5
東京都台東区,62.0,100.0,95.1,97.7
東京都足立区,62.1,100.0,90.0,99.0
東京都江東区,88.2,100.0,97.4,98.0
東京都杉並区,90.7,100.0,94.9,93.8
東京都江戸川区,92.7,100.0,97.6,100.0
東京都中野区,90.6,100.0,96.5,97.4
東京都北区,89.5,100.0,96.0,97.2
