location,min_occupancy,max_occupancy,mean_occupancy,median_occupancy
神奈川県横浜市旭区,100.0,100.0,100.0,100.0
神奈川県横浜市戸塚区,100.0,100.0,100.0,100.0
神奈川県横浜市中区,95.7,100.0,96.9,96.0
神奈川県横浜市西区,86.7,96.1,92.1,93.6
神奈川県横浜市保土ヶ谷区,100.0,100.0,100.0,100.0
神奈川県横浜市鶴見区,98.4,98.4,98.4,98.4
神奈川県横浜市港北区,97.7,100.0,98.6,97.7
神奈川県横浜市都筑区,100.0,100.0,100.0,100.0
神奈川県横浜市金沢区,100.0,100.0,100.0,100.0
横浜市鶴見区,100.0,100.0,100.0,100.0
横浜市青葉区,96.9,100.0,98.5,98.5
横浜市南区,94.7,94.7,94.7,94.7
神奈川県横浜市神奈川区,98.2,98.2,98.2,98.2
神奈川県横浜市青葉区,100.0,100.0,100.0,100.0
神奈川県横浜市南区,89.3,89.3,89.3,89.3
